"year","south.sst.ndjfm","south.sst.amj","north.sst.ndjfm","north.sst.amj","AO.jfm","SE.wind.Oct.Apr","NW.wind.Oct.Apr","SE.wind.May.Sep","NW.wind.May.Sep","summer.cold.pool.extent","summer.bottom.temp","ice.area.jfma","m8.march.ice","m5.march.ice","m4.march.ice","maisie.ice.extent.jfma","north.wind.stress.amj","south.wind.stress.amj","M2.JFMAM.60.72m.temp","M2.JFMAM.10.15m.salinity","M2.JAS.10.15m.salinity","M2.JFMAM.40.55m.salinity","M2.JAS.40.55m.salinity","M2.OND.40.55m.salinity"
2001,3.37701888592155,3.9499367504944,-0.802935475111008,0.374918657721895,-1.09033333333333,0.0788018433179724,0.194426157559798,0.235268817204301,0.0918279569892473,45313,2.4513889,-120554.25,42,0,0,NA,0.0610365941585338,0.0398865458888177,1.69838968675605,1.10681652492066,-2.07134008181492,1.01212925767534,0.494029092204646,0.114572294065781
2002,1.72129780098244,4.12353241627599,-1.09664824875918,1.59500455766013,1.194,0.219936361641431,0.179427254772877,0.176989247311828,0.143655913978495,25664,3.0838356,38037.75,83,85,22,NA,0.0215367353468778,0.034748688240835,0.411156774235949,-1.50053427053576,NA,0.366813610549293,0.72568776143792,0.335608789607338
2003,3.01707787602036,4.33886262737674,-0.480063865401528,2.46267051227165,0.196333333333333,0.146247531270573,0.140432301953039,0.183655913978495,0.176989247311828,13233,3.6836512,-100988.5,8,11,0,NA,0.0354987810324256,0.0356851951018715,1.5796686236253,0.921329784823493,0.824036993271761,0.502499806373347,0.491236789755632,NA
2004,2.49311225502579,4.08274164372756,-0.58263782046058,1.87586169893091,-0.967333333333333,0.139652523968431,0.178526405000265,0.190322580645161,0.228172043010753,24461,3.2281421,-80802.5,5,0,0,NA,0.0393020875618417,0.0363156933197736,0.979258505042102,0.553004282896084,-0.775390096138659,0.573684534538888,0.395355832780953,NA
2005,2.70303251014815,3.90375656698957,-0.833113727244464,1.57351896076491,-0.754666666666667,0.144886987052886,0.151623875356594,0.208602150537634,0.143870967741935,23258,3.2580925,-76915.5,35,0,0,NA,0.0390575183165748,0.0430124732969001,1.6941143433876,0.50765920257265,0.439080167578595,NA,1.2894475039018,0.7399153782445
2006,1.55836332484528,2.71645797439563,-1.09872242537412,0.698089985233365,-0.642,0.229438226903665,0.170923853412333,0.295483870967742,0.0911827956989247,67769,1.6732432,48311.25,59,22,0,711307.750583333,0.0604768405087396,0.0467583098903926,0.0186284797967992,-0.391025358723603,0.0465889799675002,0.242667283540697,0.121979779005146,-0.157111068469983
2007,1.77158192650036,2.40498934336651,-0.417606923255053,0.798997095136932,0.633333333333333,0.280283080974325,0.156758832565284,0.260860215053763,0.17010752688172,78997,1.5826667,1752.75,63,28,0,658432.87125,0.0547163038830019,0.0518644309681789,-0.889326354488667,1.39195083232105,-1.33430262102219,-0.138121610374072,-0.539914781982024,-0.218503371649652
2008,1.39700016114447,1.84779435911296,-0.61964316313917,0.941082039565751,0.781,0.300095344033053,0.121658986175115,0.254623655913979,0.0980645161290323,96240,1.1016043,154580.5,72,31,0,812666.605714286,0.0341787787999363,0.0372843008505913,-1.52186829664435,NA,NA,-0.24129563873526,NA,NA
2009,0.997109826350654,2.06994942824046,-1.00805677175522,1.30066993922898,0.083,0.221362738643845,0.157713407943823,0.19010752688172,0.175913978494624,89824,1.1957333,159213.75,90,80,67,801074.323619048,0.0319197964244129,0.0347363506092265,-2.1064785116868,-0.969521965552921,-0.269572974253189,-1.12457468835314,-1.03836311623174,-0.642045464769391
2010,1.61946989584852,1.8582040189225,-0.952885808727958,0.154193556218436,-2.43066666666667,0.210006583278473,0.148694316436252,0.0911827956989247,0.20989247311828,74987,1.3386667,146505.25,63,37,6,809497.911440678,0.0423706994292411,0.0380124394127132,-1.55204552528726,-0.528097070386856,-0.442067663145955,-0.333293488301175,-1.13770980326517,-0.913080050731982
2011,1.7410778703513,2.93914166902318,-0.88939556479454,2.28394106301394,0.44,0.229866140004389,0.138512179065174,0.164516129032258,0.183655913978495,45714,2.312,-26434.5,62,27,0,653319.933050847,0.051993529623939,0.0468114219031967,-1.33756904848851,-1.23055421422977,-0.656932821066764,-0.519246210214506,0.0317654220906043,-0.0548705911438863
2012,1.04580722407058,1.86528461472488,-0.877089721506292,0.688008473452294,0.261233333333333,0.271613962603951,0.146300121828487,0.280860215053763,0.0649462365591398,103057,0.8268097,274784,90,24,0,999068.703416667,0.0277167348686353,0.0339906097048738,-1.87795871544485,-1.54092127350592,-1.19390330856695,-0.583846948915453,-0.877380465566249,NA
2013,1.07412336689455,2.69744823302752,-1.11442182443359,1.10478135853103,-1.60333333333333,0.203730524467852,0.0883256528417819,0.183010752688172,0.138064516129032,72982,1.6370667,154149.25,89,18,0,846171.93125,0.0388537821747796,0.0495361421128571,-1.12858176257057,-1.35759868907314,-0.549481173342625,-1.02874658355502,-0.50342667336299,-0.321308701857003
2014,2.42998509782332,4.15960388713413,-0.815222948789597,1.25873051719232,0.0949333333333333,0.123666886109282,0.103138029405311,0.261720430107527,0.13010752688172,36491,3.0186667,-68955.25,66,0,0,633046.840833333,0.0422803001347652,0.0402115315351642,2.03467711415219,NA,NA,NA,-0.626107695025556,-0.00448409192515697
2015,3.19602403419989,4.31403356864129,-0.814320243488659,1.60581309506387,1.32333333333333,0.126607417160413,0.136778582400702,0.223010752688172,0.194408602150538,34486,3.1336,-148320,0,0,0,530332.631848739,0.041378559135077,0.0514422300902928,2.25848001275494,1.82738924510196,3.53681081491046,NA,NA,NA
2016,3.50711485986356,5.30060825671679,-0.471841950850053,3.17305697004,-0.397833333333333,0.126728110599078,0.0894538905662376,0.215698924731183,0.124086021505376,25664,4.2106667,-100872.5,33,0,0,599539.219833333,0.0496245568274288,0.0348903004694996,2.69844118697664,0.642954157919356,-1.13796758057016,1.42082348461764,1.13224780448648,1.03487647996562
2017,3.17707980341382,4.0601809999825,0.790089377489957,3.02327073162252,0.884,0.132696949747641,0.215799868334431,0.223010752688172,0.104731182795699,48120,2.6528,-175390,0,0,0,508581.6955,0.031404223754946,0.0178508327730342,-0.177710402841309,0.985256196923919,0.217431376315635,0.273019389585009,-0.698594459236121,NA
2018,3.00665710899565,4.42727354647201,1.02703491557728,2.93353048779748,-0.369666666666667,0.121077463243362,0.205277594908931,0.202795698924731,0.182795698924731,1604,4.1594667,-377769.25,0,0,0,273300.9145,0.0580715847033944,0.0309275414517359,1.17290908102675,0.0297434115484183,NA,1.17379094002438,1.0537007061383,NA
2019,3.18607737703456,5.35569965839386,-0.418173481930386,4.23553356799212,0.852333333333333,0.125806451612903,0.24102479701558,0.223655913978495,0.0849462365591398,8020,4.3541333,NA,NA,NA,NA,346718.3035,0.0429422227449191,0.0339896973058966,2.36290229939512,0.86744919888813,1.73494087105069,1.09848954198124,0.887960483748453,NA
